date,time_et,events,tier
2024-10-04,08:30,Average Hourly Earnings m/m,3
2024-10-09,08:30,CPI m/m + CPI y/y + Unemployment Claims,1
2024-10-10,08:30,Core CPI m/m + Core PPI m/m + PPI m/m,1
2024-10-31,08:30,Non-Farm Employment Change + Unemployment Rate,1
2024-11-01,08:30,Average Hourly Earnings m/m,3
2024-11-12,08:30,CPI m/m + CPI y/y,1
2024-11-13,08:30,Core CPI m/m + PPI m/m + Unemployment Claims,1
2024-12-05,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2024-12-10,08:30,CPI m/m + CPI y/y,1
2024-12-11,08:30,Core CPI m/m + Core PPI m/m + PPI m/m + Unemployment Claims,1
2025-01-09,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2025-01-14,08:30,CPI m/m + CPI y/y + Core CPI m/m + Core PPI m/m,1
2025-02-06,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Claims + Unemployment Rate,1
2025-02-11,08:30,CPI m/m + CPI y/y,1
2025-02-12,08:30,Core CPI m/m + PPI m/m + Unemployment Claims,1
2025-03-06,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2025-03-11,08:30,CPI m/m + CPI y/y,1
2025-03-12,08:30,Core CPI m/m + Core PPI m/m + PPI m/m + Unemployment Claims,1
2025-04-03,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
