DateTime,Event,Impact,Actual,Forecast,Previous
2021-12-15T00:00:00+03:30,Retail Sales m/m,High Impact Expected,0.3%,0.8%,1.8%
2021-12-15T00:00:00+03:30,FOMC Statement,High Impact Expected,,,
2021-12-15T17:00:00+03:30,Core Retail Sales m/m,High Impact Expected,0.3%,0.9%,1.8%
2021-12-15T22:30:00+03:30,Federal Funds Rate,High Impact Expected,<0.25%,<0.25%,<0.25%
2021-12-15T23:00:00+03:30,FOMC Press Conference,High Impact Expected,,,
2021-12-23T00:00:00+03:30,Core PCE Price Index m/m,High Impact Expected,0.5%,0.4%,0.5%
2022-01-04T00:00:00+03:30,JOLTS Job Openings,High Impact Expected,10.56M,11.06M,11.09M
2022-01-04T18:30:00+03:30,ISM Manufacturing PMI,High Impact Expected,58.7,60.0,61.1
2022-01-05T16:45:00+03:30,ADP Non-Farm Employment Change,High Impact Expected,807K,405K,505K
2022-01-05T22:30:00+03:30,FOMC Meeting Minutes,High Impact Expected,,,
2022-01-06T18:30:00+03:30,ISM Services PMI,High Impact Expected,62.0,67.0,69.1
2022-01-07T00:00:00+03:30,Unemployment Rate,High Impact Expected,3.9%,4.1%,4.2%
2022-01-07T00:00:00+03:30,Non-Farm Employment Change,High Impact Expected,199K,426K,249K
2022-01-07T00:00:00+03:30,Average Hourly Earnings m/m,High Impact Expected,0.6%,0.4%,0.4%
2022-01-11T18:30:00+03:30,Fed Chair Powell Testifies,High Impact Expected,,,
2022-01-12T00:00:00+03:30,CPI y/y,High Impact Expected,7.0%,7.0%,6.8%
2022-01-12T00:00:00+03:30,CPI m/m,High Impact Expected,0.5%,0.4%,0.8%
2022-01-12T17:00:00+03:30,Core CPI m/m,High Impact Expected,0.6%,0.5%,0.5%
2022-01-13T17:00:00+03:30,PPI m/m,High Impact Expected,0.2%,0.4%,0.8%
2022-01-14T00:00:00+03:30,Retail Sales m/m,High Impact Expected,-1.9%,0.0%,0.2%
2022-01-14T17:00:00+03:30,Core Retail Sales m/m,High Impact Expected,-2.3%,0.2%,0.1%
2022-01-26T00:00:00+03:30,FOMC Statement,High Impact Expected,,,
2022-01-26T22:30:00+03:30,Federal Funds Rate,High Impact Expected,<0.25%,<0.25%,<0.25%
2022-01-26T23:00:00+03:30,FOMC Press Conference,High Impact Expected,,,
2022-01-27T17:00:00+03:30,Advance GDP q/q,High Impact Expected,6.9%,5.3%,2.3%
2022-01-28T17:00:00+03:30,Core PCE Price Index m/m,High Impact Expected,0.5%,0.5%,0.5%
2022-02-01T00:00:00+03:30,JOLTS Job Openings,High Impact Expected,10.93M,10.35M,10.78M
2022-02-01T18:30:00+03:30,ISM Manufacturing PMI,High Impact Expected,57.6,57.4,58.7
2022-02-02T16:45:00+03:30,ADP Non-Farm Employment Change,High Impact Expected,-301K,185K,776K
