Date,Entree,Sortie,Direction,Prix_Entree,Prix_Sortie,Stop,PnL_pts,PnL_USD,Cumul_USD,Exit_Reason
2026-02-26,2026-02-26 16:00:00+01:00,2026-02-26 16:30:00+01:00,SHORT,25173.25,24873.25,25384.75,300.0,6000.0,49575.0,tp
2026-02-26,2026-02-26 16:35:00+01:00,2026-02-26 19:40:00+01:00,SHORT,24975.25,25008.0,25008.0,-32.75,-655.0,48920.0,trail_stop
2026-02-27,2026-02-27 17:40:00+01:00,2026-02-27 18:05:00+01:00,SHORT,24936.0,25021.5,25021.5,-85.5,-1710.0,47210.0,trail_stop
2026-02-27,2026-02-27 18:15:00+01:00,2026-02-27 20:05:00+01:00,SHORT,24942.25,24955.25,24955.25,-13.0,-260.0,46950.0,trail_stop
2026-03-02,2026-03-02 16:00:00+01:00,2026-03-02 19:35:00+01:00,LONG,24888.5,25013.5,25013.5,125.0,2500.0,49450.0,trail_stop
2026-03-02,2026-03-02 20:15:00+01:00,2026-03-02 20:40:00+01:00,LONG,25073.5,25076.75,24966.25,3.25,65.0,49515.0,time
2026-03-03,2026-03-03 16:00:00+01:00,2026-03-03 17:05:00+01:00,SHORT,24485.0,24586.25,24586.25,-101.25,-2025.0,47490.0,trail_stop
2026-03-03,2026-03-03 19:00:00+01:00,2026-03-03 20:40:00+01:00,LONG,24683.75,24819.75,24702.75,136.0,2720.0,50210.0,time
2026-03-04,2026-03-04 16:00:00+01:00,2026-03-04 20:40:00+01:00,LONG,24930.5,25191.25,25140.5,260.75,5215.0,55425.0,time
2026-03-05,2026-03-05 16:20:00+01:00,2026-03-05 18:00:00+01:00,SHORT,25024.0,25098.0,25098.0,-74.0,-1480.0,53945.0,trail_stop
2026-03-05,2026-03-05 18:15:00+01:00,2026-03-05 20:40:00+01:00,SHORT,24962.75,24850.25,24880.75,112.5,2250.0,56195.0,time
2026-03-06,2026-03-06 18:25:00+01:00,2026-03-06 20:40:00+01:00,SHORT,24813.25,24798.25,24889.0,15.0,300.0,56495.0,time
2026-03-09,2026-03-09 15:00:00+01:00,2026-03-09 18:20:00+01:00,LONG,24468.75,24631.25,24631.25,162.5,3250.0,59745.0,trail_stop
2026-03-09,2026-03-09 19:30:00+01:00,2026-03-09 19:40:00+01:00,LONG,24694.75,24686.5,24575.75,-8.25,-165.0,59580.0,time
2026-03-10,2026-03-10 15:25:00+01:00,2026-03-10 17:05:00+01:00,LONG,25003.5,25085.5,25085.5,82.0,1640.0,61220.0,trail_stop
2026-03-10,2026-03-10 17:35:00+01:00,2026-03-10 18:35:00+01:00,LONG,25161.0,25107.25,25107.25,-53.75,-1075.0,60145.0,trail_stop
2026-03-10,2026-03-10 18:50:00+01:00,2026-03-10 19:10:00+01:00,LONG,25179.5,25102.25,25102.25,-77.25,-1545.0,58600.0,trail_stop
